file,path,expected,found,text_ok,misdecode,dup,ms,tags
c000164_6,2stage,6,1,1,0,0,3.525,mixed;mod-3px;sym-QR;rot-free;sym-CODE39;sym-CODE128;rot-ortho;inverted;printdefect;dirty;underexposed;sym-CODE_128;sym-CODE_39;sym-QR_CODE;n6;img-ok
c000165_1,2stage,1,1,1,0,0,249.514,mixed;clutter-warehouse;mod-5px+;sym-QR;inverted;printdefect;curved;underexposed;sym-QR_CODE;n1;img-ok
c000171_6,2stage,6,1,1,0,0,3.741,mixed;clutter-falsepattern;mod-3px;sym-ITF;printdefect;perspective-strong;sym-CODE39;sym-QR;damaged;rot-ortho;mod-5px+;inverted;rot-small;lowcontrast;quietzone;shadow;sym-CODE_39;sym-QR_CODE;n6;img-ok
c000172_1,2stage,1,1,1,0,0,14.884,mixed;mod-3px;sym-CODE39;printdefect;dirty;glare;sym-CODE_39;n1;img-ok
c000174_1,2stage,1,0,0,0,0,514.260,mixed;mod-3px;sym-CODE39;lowcontrast;rot-free;motion-strong;shadow;sym-CODE_39;n1;img-ok
c000175_1,2stage,1,1,1,0,0,49.380,mixed;mod-5px+;sym-ITF;inverted;dirty;n1;img-ok
c000176_5,2stage,5,2,2,0,0,7.910,mixed;mod-5px+;sym-EAN13;sym-QR;rot-small;lowcontrast;rot-free;printdefect;rot-ortho;mod-3px;sym-CODE39;quietzone;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n5;img-ok
c000177_2,2stage,2,2,2,0,0,2.108,mixed;mod-5px+;sym-QR;lowcontrast;rot-ortho;mod-3px;sym-ITF;damaged;overexposed;sym-QR_CODE;n2;img-ok
c000179_1,2stage,1,1,1,0,0,27.677,mixed;mod-5px+;sym-CODE128;rot-free;overexposed;sym-CODE_128;n1;img-ok
c000180_3,2stage,3,1,1,0,0,1.778,mixed;clutter-label;mod-5px+;sym-QR;mod-3px;printdefect;rot-small;perspective;sym-CODE128;rot-ortho;quietzone;glare;underexposed;sym-CODE_128;sym-QR_CODE;n3;img-ok
c000182_1,2stage,1,1,1,0,0,169.641,mixed;clutter-warehouse;mod-5px+;sym-QR;dpm;rot-ortho;quietzone;underexposed;sym-QR_CODE;n1;img-ok
c000183_2,2stage,2,1,1,0,0,1.665,mixed;clutter-label;mod-5px+;sym-QR;rot-ortho;mod-3px;rot-small;shadow;sym-QR_CODE;n2;img-ok
c000184_3,2stage,3,1,1,0,0,1.847,mixed;mod-5px+;sym-EAN13;sym-QR;perspective;printdefect;damaged;rot-ortho;dirty;curved;overexposed;sym-EAN_13;sym-QR_CODE;n3;img-ok
c000185_4,2stage,4,4,4,0,0,80.060,mixed;clutter-label;mod-5px+;sym-CODE128;perspective;sym-QR;inverted;mod-3px;lowcontrast;sym-CODE39;shadow;overexposed;sym-CODE_128;sym-CODE_39;sym-QR_CODE;n4;img-ok
c000187_1,2stage,1,1,1,0,0,6.027,mixed;mod-3px;sym-CODE39;lowcontrast;printdefect;quietzone;curved;sym-CODE_39;n1;img-ok
c000189_1,2stage,1,1,1,0,0,7.009,mixed;mod-5px+;sym-QR;perspective-strong;curved;glare;underexposed;sym-QR_CODE;n1;img-ok
c000190_1,2stage,1,1,1,0,0,12.867,mixed;mod-5px+;sym-QR;lowcontrast;rot-free;glare;sym-QR_CODE;n1;img-ok
c000193_4,2stage,4,2,2,0,0,17.149,mixed;mod-3px;sym-CODE39;printdefect;sym-ITF;perspective;rot-free;mod-5px+;sym-EAN13;noise;sym-CODE_39;sym-EAN_13;n4;img-ok
c000195_1,2stage,1,1,1,0,0,10.717,mixed;clutter-warehouse;mod-3px;sym-CODE128;glare;sym-CODE_128;n1;img-ok
c000197_3,2stage,3,1,1,0,0,3.190,mixed;mod-5px+;sym-QR;perspective;mod-3px;dirty;curved;glare;sym-QR_CODE;n3;img-ok
c000198_2,2stage,2,2,2,0,0,51.833,mixed;mod-3px;sym-ITF;perspective;mod-5px+;sym-EAN13;overexposed;sym-EAN_13;n2;img-ok
c000199_3,2stage,3,1,1,0,0,1.716,mixed;mod-5px+;sym-EAN13;sym-QR;rot-small;quietzone;dirty;glare;sym-EAN_13;sym-QR_CODE;n3;img-ok
